Region,Typhoon,Year,Barangays_Affected,Families_Affected,Persons_Affected,ECs,CUM_In_Families,CUM_In_Persons,CUM_Out_Families,CUM_Out_Persons,Total_Displaced_Families,Total_Displaced_Persons,Damaged_Houses,Totally_Damaged_Houses,Partially_Damaged_Houses,DSWD_Assist,LGU_Assist,DOH_Assist,NGO_Other_Assist,Total_Assist,Persons_Dead,Persons_Missing,Persons_Injured,Notes
I,Sendong,2011,,,,,,,,,,,,,,,,,,,,,,
II,Sendong,2011,,,,,,,,,,,,,,,,,,,,,,
III,Sendong,2011,,,,,,,,,,,,,,,,,,,,,,
IV-A,Sendong,2011,,,,,,,,,,,,,,,,,,,,,,
IV-B,Sendong,2011,,,,,,,,,,,,,,,,,,,,,,
V,Sendong,2011,,,,,,,,,,,,,,,,,,,2.0,,,
VI,Sendong,2011,15.0,16631.0,82556.0,8.0,775.0,3875.0,14040.0,69675.0,14815.0,73550.0,,,,,,,,,,,,
VII,Sendong,2011,126.0,75335.0,921616.0,46.0,4790.0,22065.0,50940.0,284855.0,55730.0,306920.0,,,,,,,,,39.0,,,
VIII,Sendong,2011,,,,,,,,,,,,,,,,,,,,,,
IX,Sendong,2011,15.0,1290.0,4947.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,11.0,,,
X,Sendong,2011,233.0,75896.0,578451.0,32.0,3155.0,13481.0,36603.0,215934.0,39758.0,229415.0,,,,,,,,,1206.0,,,
XI,Sendong,2011,14.0,1016.0,5080.0,1.0,30.0,150.0,272.0,1360.0,302.0,1510.0,,,,,,,,,5.0,,,
XII,Sendong,2011,29.0,3552.0,14648.0,,,,,,,,,,,,,,,,,,,
CARAGA,Sendong,2011,29.0,3552.0,14648.0,0.0,979.0,4895.0,,,,,,,,,,,,,1.0,,,
ARMM,Sendong,2011,419.0,27432.0,139879.0,0.0,0.0,0.0,15679.0,80237.0,,,,,,,,,,,4.0,,,
NCR,Pablo,2012,,,,,,,,,,,,,,,,,,,,,,
I,Pablo,2012,,,,,,,,,,,4.0,2.0,2.0,,,,,,,,,
II,Pablo,2012,,,,,,,,,,,,,,,,,,,,,,
III,Pablo,2012,,,,,,,,,,,,,,,,,,,,,,
IV-A,Pablo,2012,,,,,,,,,,,,,,,,374735.0,,374375.0,,,,
IV-B,Pablo,2012,40.0,1242.0,6060.0,0.0,,,,,,,,875.0,424.0,88250.0,83500.0,1350295.0,,1522045.0,3.0,,7.0,
V,Pablo,2012,,,,,,,,,,,,,,,,285000.0,,285000.0,,,,
